"bin","f  "
1283,6.97251E-03
1284,7.01657E-03
1285,7.06079E-03
1286,7.10369E-03
1287,7.14790E-03
1288,7.19294E-03
1289,7.23736E-03
1290,7.28208E-03
1291,7.32815E-03
1292,7.37330E-03
1293,7.42065E-03
1294,7.46687E-03
1295,7.51318E-03
1296,7.56012E-03
1297,7.60768E-03
1298,7.65426E-03
1299,7.70311E-03
1300,7.74891E-03
1301,7.79830E-03
1302,7.84655E-03
1303,7.89590E-03
1304,7.94432E-03
1305,7.99459E-03
1306,8.04453E-03
1307,8.09454E-03
1308,8.14473E-03
1309,8.19719E-03
1310,8.24797E-03
1311,8.29824E-03
1312,8.35128E-03
1313,8.40238E-03
1314,8.45426E-03
1315,8.50654E-03
1316,8.55898E-03
1317,8.61357E-03
1318,8.66768E-03
1319,8.72179E-03
1320,8.77632E-03
1321,8.82980E-03
1322,8.88659E-03
1323,8.94051E-03
1324,8.99529E-03
1325,9.05391E-03
1326,9.10860E-03
1327,9.16621E-03
1328,9.22307E-03
1329,9.28058E-03
1330,9.33787E-03
1331,9.39544E-03
1332,9.45443E-03
1333,9.51289E-03
1334,9.57347E-03
1335,9.63447E-03
1336,9.69315E-03
1337,9.75485E-03
1338,9.81549E-03
1339,9.87641E-03
1340,9.93626E-03
1341,9.99933E-03
1342,1.00621E-02
1343,1.01232E-02
1344,1.01874E-02
1345,1.02510E-02
1346,1.03131E-02
1347,1.03793E-02
1348,1.04437E-02
1349,1.05086E-02
1350,1.05748E-02
1351,1.06406E-02
1352,1.07058E-02
1353,1.07741E-02
1354,1.08410E-02
1355,1.09080E-02
1356,1.09766E-02
1357,1.10456E-02
1358,1.11143E-02
1359,1.11830E-02
